state,time,commodity,country,total_import_values
Arizona,2014,321 Wood Products,World Total,"133,109,759"
Arizona,2014,322 Paper,World Total,"102,161,774"
Arizona,2014,"323 Printed Matter And Related Products, Nesoi",World Total,"25,457,825"
Arizona,2014,324 Petroleum & Coal Products,World Total,"6,085,044"
Arizona,2014,325 Chemicals,World Total,"739,363,237"
Arizona,2014,326 Plastics & Rubber Products,World Total,"276,110,905"
Arizona,2014,327 Nonmetallic Mineral Products,World Total,"157,511,843"
Arizona,2014,331 Primary Metal Mfg,World Total,"575,788,591"
Arizona,2014,"332 Fabricated Metal Products, Nesoi",World Total,"555,411,782"
Arizona,2014,"333 Machinery, Except Electrical",World Total,"2,147,470,311"
Arizona,2014,334 Computer & Electronic Products,World Total,"4,082,378,089"
Arizona,2014,"335 Electrical Equipment, Appliances & Components",World Total,"1,563,212,750"
Arizona,2014,336 Transportation Equipment,World Total,"3,005,032,432"
Arizona,2014,337 Furniture & Fixtures,World Total,"362,881,481"
Arizona,2014,339 Miscellaneous Manufactured Commodities,World Total,"868,878,845"
Arizona,2014,910 Waste And Scrap,World Total,"29,326,207"
Arizona,2014,930 Used Or Second-hand Merchandise,World Total,"28,920,361"
Arizona,2014,980 Goods Returned (exports For Canada Only),World Total,"1,413,318,494"
Arizona,2014,990 Other Special Classification Provisions,World Total,"34,204,835"
Arizona,2015,111 Agricultural Products,World Total,"2,190,405,317"
Arizona,2015,112 Livestock & Livestock Products,World Total,"183,808,516"
Arizona,2015,"113 Forestry Products, Nesoi",World Total,"1,357,919"
Arizona,2015,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,"52,802,809"
Arizona,2015,211 Oil & Gas,World Total,"9,778,208"
Arizona,2015,212 Minerals & Ores,World Total,"23,282,437"
Arizona,2015,311 Food & Kindred Products,World Total,"272,426,733"
Arizona,2015,312 Beverages & Tobacco Products,World Total,"163,559,854"
Arizona,2015,313 Textiles & Fabrics,World Total,"34,226,586"
Arizona,2015,314 Textile Mill Products,World Total,"211,535,072"
Arizona,2015,315 Apparel & Accessories,World Total,"221,956,089"
Arizona,2015,316 Leather & Allied Products,World Total,"128,191,156"
